ApplicantID,PastRelevantExperience,YearsOfRelevantExperience,HighestEducationLevel,YearOfBirth,Hired
100063,True,7,Associate Degree,2001,False
100064,False,0,High School,2006,False
100065,True,3,Bachelor,2003,True
100066,True,4,High School,2005,False
100067,False,0,Associate Degree,1996,False
100068,False,0,Bachelor,1990,False
100069,False,0,High School,2005,False
100070,False,0,Associate Degree,2002,False
100071,True,6,Associate Degree,2003,False
100072,True,4,Associate Degree,2005,True
100073,True,2,High School,2005,False
100074,True,5,Bachelor,2003,True
100075,True,1,High School,1995,False
100076,True,2,High School,1997,False
100077,False,0,Bachelor,1994,False
100078,True,5,Associate Degree,1999,False
100079,True,1,Associate Degree,2005,False
100080,True,1,Bachelor,1989,True
100081,True,4,High School,2005,False
100082,False,0,Bachelor,2000,False
100083,True,1,Bachelor,1999,False
100084,False,0,Associate Degree,1999,False
100085,True,3,Bachelor,1998,False
100086,True,9,Associate Degree,2000,False
100087,False,0,Associate Degree,1999,False
100088,False,0,High School,2007,False
100089,True,1,Associate Degree,2004,False
100090,True,1,Bachelor,1996,False
100091,True,3,High School,2006,True
100092,True,2,Associate Degree,1999,True
100093,False,0,High School,2005,False
100094,False,0,Associate Degree,2006,False
100095,False,0,Associate Degree,1999,False
100096,False,0,High School,1998,False
100097,False,0,Bachelor,2001,True
100098,True,1,Associate Degree,2001,False
100099,True,5,Associate Degree,2002,False
100100,True,4,High School,1999,False
100101,True,1,Bachelor,2002,False
100102,True,3,Bachelor,2003,False
100103,True,2,High School,1999,False
100104,True,3,High School,1996,False
100105,False,0,Bachelor,2002,False
100106,False,0,Bachelor,1999,False
100107,True,2,Associate Degree,2003,False
100108,True,2,Associate Degree,1996,False
100109,True,1,Associate Degree,2001,False
100110,False,0,Bachelor,1996,False
100111,True,3,High School,2006,False
100112,True,8,Associate Degree,2001,False
100113,True,1,High School,2007,False
100114,True,1,Bachelor,1997,False
100115,False,0,High School,2007,False
100116,False,0,High School,1995,False
100117,False,0,Associate Degree,2005,False
100118,True,6,Associate Degree,2003,False
100119,True,2,Associate Degree,1999,False
100120,False,0,Bachelor,1999,False
100121,True,2,High School,2004,False
100122,True,2,Bachelor,2005,False
100123,True,1,High School,2008,False
100124,True,6,Bachelor,2001,False
100125,False,0,Master,1998,False
100126,True,2,Bachelor,1995,False
100127,False,0,High School,2006,False
100128,False,0,Associate Degree,2003,False
100129,True,5,Bachelor,1991,False
100130,False,0,Associate Degree,2002,False
100131,True,7,Bachelor,2001,False
100132,False,0,Bachelor,2003,False
100133,False,0,High School,2007,False
100134,False,0,Master,1999,False
100135,True,8,Master,1997,True
100136,True,3,High School,2006,True
100137,True,2,Associate Degree,2003,False
100138,True,6,High School,1999,False
100139,True,1,Associate Degree,2000,False
100140,True,1,Associate Degree,1999,False
100141,False,0,Bachelor,2003,False
100142,True,3,Associate Degree,2004,False
100143,False,0,Associate Degree,2006,False
100144,False,0,High School,2003,False
100145,False,0,High School,1996,False
100146,True,2,High School,2007,False
100147,True,3,Bachelor,1995,True
100148,True,4,High School,2005,False
100149,False,0,Associate Degree,2005,False
100150,True,2,High School,2006,False
100151,True,2,High School,2006,False
100152,False,0,Bachelor,1999,False
100153,True,6,Master,2003,True
100154,True,8,Bachelor,1989,False
100155,False,0,High School,2007,False
100156,True,2,High School,2007,False
100157,True,2,Bachelor,2003,True
100158,True,5,Bachelor,2000,False
100159,True,4,Bachelor,1999,False
100160,False,0,High School,2008,False
100161,True,1,High School,2008,False
100162,False,0,Associate Degree,2004,False
100163,False,0,Bachelor,2002,False
100164,False,0,Associate Degree,2004,False
100165,True,2,High School,1995,False
100166,True,1,Master,1996,False
100167,False,0,High School,2001,False
100168,True,1,High School,2003,False
100169,True,1,High School,2007,False
100170,True,6,High School,1997,True
100171,True,3,High School,2005,False
100172,True,1,Associate Degree,2006,False
100173,False,0,Associate Degree,2003,False
100174,True,3,High School,2004,False
100175,True,1,High School,2006,False
100176,False,0,Bachelor,2004,False
100177,True,7,Associate Degree,1994,True
100178,False,0,Associate Degree,2005,False
100179,True,2,Associate Degree,2004,False
100180,True,2,Bachelor,1999,True
100181,True,3,Bachelor,2004,False
100182,True,1,Associate Degree,2005,False
100183,True,1,Bachelor,2006,False
100184,True,1,High School,1999,False
100185,False,0,Associate Degree,1993,False
100186,True,2,Associate Degree,2002,False
100187,True,1,Master,2001,False
100188,False,0,Associate Degree,2004,False
100189,True,6,Associate Degree,2000,False
100190,True,3,Bachelor,1999,False
100191,True,2,Bachelor,2006,True
100192,True,1,High School,2008,False
100193,True,8,Bachelor,2001,True
100194,True,2,High School,1997,False
100195,True,1,High School,2005,False
100196,False,0,Bachelor,2000,False
100197,True,2,High School,2006,False
100198,True,1,Bachelor,2001,False
100199,False,0,High School,1999,False
100200,True,1,High School,2007,False
100201,False,0,Associate Degree,1999,False
100202,True,5,Associate Degree,2003,False
100203,False,0,Associate Degree,1998,False
100204,False,0,Associate Degree,2000,False
100205,False,0,High School,1994,False
100206,False,0,High School,2001,False
100207,True,1,High School,1993,False
100208,True,2,High School,2005,False
100209,False,0,High School,1997,False
100210,False,0,Bachelor,2003,False
100211,True,3,Bachelor,2004,False
100212,True,3,High School,2002,False
100213,False,0,High School,1997,False
100214,True,1,High School,2008,False
100215,True,2,High School,1996,True
100216,True,2,High School,2005,False
100217,True,3,Bachelor,1993,False
100218,True,2,High School,2005,False
100219,False,0,High School,2007,False
100220,False,0,Bachelor,2004,False
100221,True,1,Bachelor,1999,False
100222,True,4,High School,2002,False
100223,False,0,Bachelor,1996,False
100224,False,0,High School,1993,False
100225,True,1,Associate Degree,2000,False
100226,False,0,High School,2005,False
100227,False,0,High School,2003,False
100228,False,0,High School,2005,False
100229,True,5,Bachelor,2001,False
100230,True,1,High School,2008,False
100231,True,4,Associate Degree,1997,True
100232,True,1,High School,2004,False
100233,True,3,High School,2006,False
100234,False,0,Bachelor,2005,False
100235,True,5,High School,2003,False
100236,True,2,Master,1996,False
100237,False,0,Bachelor,2002,False
100238,True,1,High School,2005,False
100239,False,0,Associate Degree,2006,False
100240,False,0,Associate Degree,1997,False
100241,True,3,Associate Degree,1997,False
100242,False,0,Bachelor,2004,False
100243,True,1,High School,2000,False
100244,False,0,Associate Degree,2006,False
100245,True,1,Bachelor,2000,False
100246,True,5,Bachelor,1997,False
100247,True,1,High School,2007,False
100248,True,1,High School,1999,False
100249,True,2,Bachelor,1997,False
100250,True,1,High School,2006,False
100251,True,1,Associate Degree,2005,False
100252,False,0,Bachelor,2000,False
100253,False,0,High School,1996,False
100254,True,1,Bachelor,2004,False
100255,False,0,Master,2002,False
100256,True,5,High School,2004,False
100257,True,4,High School,2005,False
100258,False,0,High School,2005,False
100259,True,1,High School,2006,False
100260,True,4,Bachelor,1999,False
100261,True,1,High School,2005,False
100262,True,3,Bachelor,2003,False
100263,True,2,Bachelor,1999,True
100264,True,2,Associate Degree,1998,False
100265,True,4,Bachelor,1997,False
100266,False,0,Bachelor,2006,False
100267,True,3,Bachelor,2003,False
100268,True,2,Associate Degree,2001,False
100269,False,0,Bachelor,1999,False
100270,False,0,High School,2007,False
100271,True,2,Bachelor,2003,True
100272,True,1,Associate Degree,2002,False
100273,True,2,High School,2007,False
100274,False,0,High School,2007,False
100275,True,5,Bachelor,1998,False
100276,False,0,Bachelor,2001,False
100277,True,3,Associate Degree,2005,False
100278,True,2,High School,1999,False
100279,True,5,Associate Degree,2000,False
100280,False,0,High School,2007,False
100281,False,0,Master,1998,False
100282,True,4,Bachelor,2003,False
100283,True,3,High School,1992,False
100284,True,3,Associate Degree,2003,False
100285,True,2,Associate Degree,2002,False
100286,True,3,Bachelor,2004,False
100287,False,0,High School,2004,False
100288,True,1,High School,2001,False
100289,False,0,Associate Degree,2000,False
100290,True,5,Bachelor,2000,True
100291,False,0,Bachelor,2003,False
100292,False,0,Associate Degree,2003,False
100293,True,1,High School,2005,False
100294,True,3,Bachelor,2000,False
100295,True,4,Bachelor,2005,False
100296,True,3,Bachelor,2001,False
100297,False,0,High School,2004,False
100298,True,6,Bachelor,2000,False
100299,False,0,Associate Degree,2001,False
100300,True,1,Bachelor,2002,False
100301,False,0,High School,2008,False
100302,False,0,High School,2007,False
100303,False,0,High School,2007,False
100304,True,7,Bachelor,1989,True
100305,False,0,Associate Degree,1998,False
100306,False,0,Bachelor,1998,False
100307,True,2,Associate Degree,2000,False
100308,True,7,Master,2002,False
100309,False,0,Associate Degree,2002,False
100310,True,3,High School,2005,False
100311,True,2,Associate Degree,1996,False
100312,True,1,Bachelor,2003,False
100313,False,0,Bachelor,2001,False
100314,True,1,High School,2003,False
100315,True,5,High School,1996,False
100316,True,1,High School,2002,False
100317,True,4,High School,2001,True
100318,True,6,Bachelor,2003,True
100319,True,2,High School,1994,False
100320,False,0,Bachelor,1998,False
100321,True,7,Master,2002,False
100322,True,5,Associate Degree,2000,False
100323,True,7,Associate Degree,1997,False
100324,False,0,Associate Degree,1998,False
100325,True,1,High School,2008,False
100326,True,3,Associate Degree,2003,False
100327,True,4,High School,2005,False
100328,True,5,Associate Degree,2003,False
100329,True,1,High School,2005,False
100330,True,3,High School,2006,False
100331,False,0,Associate Degree,2006,False
100332,False,0,Bachelor,2000,False
100333,True,5,High School,2002,False
100334,True,5,Associate Degree,1999,False
100335,False,0,High School,2001,False
100336,True,3,Associate Degree,2006,False
100337,True,7,Associate Degree,2002,False
100338,False,0,High School,2006,False
100339,False,0,High School,2004,False
100340,True,6,Bachelor,2003,False
100341,False,0,Master,1996,False
100342,True,2,High School,2000,False
100343,True,3,High School,2006,False
100344,False,0,Bachelor,2002,False
100345,True,5,Associate Degree,1995,True
100346,False,0,Master,1991,False
100347,True,5,Bachelor,1994,False
100348,True,6,High School,1995,False
100349,True,2,Bachelor,2002,False
100350,True,1,High School,2005,False
100351,False,0,High School,2006,False
100352,True,1,Associate Degree,1999,False
100353,True,2,Master,2004,False
100354,True,2,Bachelor,1994,True
100355,False,0,High School,2003,False
100356,False,0,High School,2005,False
100357,False,0,Associate Degree,2005,False
100358,True,4,High School,2000,False
100359,False,0,High School,2005,False
100360,True,1,High School,1988,False
100361,True,8,Associate Degree,1986,True
100362,False,0,High School,2005,False
100363,True,4,High School,2000,False
100364,False,0,High School,2003,False
100365,True,3,High School,2006,False
100366,False,0,High School,2001,False
100367,True,2,Associate Degree,1999,True
100368,True,1,Associate Degree,1993,False
100369,False,0,High School,2003,False
100370,True,4,High School,2005,False
100371,True,1,High School,2002,False
100372,True,2,High School,2007,False
100373,True,2,High School,2006,False
100374,False,0,High School,2006,False
100375,False,0,Bachelor,1996,False
100376,False,0,Associate Degree,2004,False
100377,False,0,High School,2000,False
100378,False,0,PhD,2002,False
100379,False,0,Associate Degree,2004,False
100380,True,6,Bachelor,1996,False
100381,True,2,High School,2007,False
100382,True,2,High School,2007,False
100383,False,0,Associate Degree,2004,False
100384,True,1,PhD,1998,False
100385,False,0,Bachelor,2000,False
100386,False,0,Associate Degree,2003,False
100387,True,4,High School,2000,False
100388,True,1,Bachelor,1996,False
100389,True,1,High School,2006,False
100390,True,2,High School,2005,False
100391,True,3,High School,2000,True
100392,True,3,High School,2006,False
100393,False,0,Associate Degree,1994,False
100394,True,2,High School,1993,False
100395,True,1,Associate Degree,2005,False
100396,True,1,High School,2002,False
100397,False,0,Associate Degree,2002,False
100398,True,2,Associate Degree,2006,True
100399,True,1,High School,1993,False
100400,False,0,High School,2000,False
100401,False,0,Associate Degree,1998,False
100402,False,0,Associate Degree,1999,False
100403,True,8,Bachelor,1991,False
100404,False,0,Associate Degree,1998,False
100405,True,2,Bachelor,1991,False
100406,True,2,High School,2004,False
100407,True,1,High School,1997,False
100408,True,2,Associate Degree,2000,False
100409,False,0,High School,1992,False
100410,False,0,Associate Degree,2000,False
100411,False,0,Bachelor,2002,False
100412,True,3,Bachelor,1996,True
100413,False,0,High School,2007,False
100414,True,7,Bachelor,1990,False
100415,True,6,Master,1996,False
100416,True,4,Master,2004,False
100417,True,1,Bachelor,2000,False
100418,False,0,Bachelor,1999,False
100419,False,0,Bachelor,2001,False
100420,False,0,High School,2008,False
100421,True,1,High School,2008,False
100422,False,0,High School,2006,False
100423,True,5,Bachelor,1998,False
100424,True,3,High School,2006,False
100425,False,0,Associate Degree,2005,False
100426,False,0,High School,1997,False
100427,True,5,Associate Degree,2004,False
100428,True,2,High School,2007,False
100429,True,7,Bachelor,1998,False
100430,True,1,High School,2008,False
100431,True,1,Associate Degree,1997,False
100432,False,0,High School,2003,False
100433,True,2,Associate Degree,1999,True
100434,False,0,High School,1999,False
100435,True,1,High School,2007,False
100436,True,1,High School,2006,False
100437,False,0,Associate Degree,2004,False
100438,False,0,Bachelor,1999,False
100439,False,0,Bachelor,2001,False
100440,True,1,High School,2000,False
100441,False,0,High School,1999,False
100442,True,2,High School,2003,False
100443,True,5,High School,2002,False
100444,True,3,High School,2000,False
100445,False,0,Associate Degree,1996,False
100446,True,4,Bachelor,2004,False
100447,True,3,High School,2005,True
100448,False,0,High School,2005,False
100449,False,0,High School,2006,False
100450,True,7,Bachelor,1996,False
100451,False,0,Associate Degree,2003,False
100452,True,2,Associate Degree,2006,False
100453,False,0,Bachelor,2003,False
100454,False,0,Bachelor,1991,False
100455,True,1,High School,2001,False
100456,True,4,Bachelor,2000,False
100457,True,1,High School,1999,False
100458,False,0,High School,1996,False
100459,True,1,High School,2008,False
100460,True,6,Bachelor,2003,False
100461,False,0,High School,1991,False
100462,False,0,Bachelor,1996,True
100463,True,6,Associate Degree,2003,False
100464,True,3,Associate Degree,2006,False
100465,False,0,High School,2005,False
100466,True,1,Associate Degree,2002,False
100467,True,1,Bachelor,1996,True
100468,True,2,Bachelor,2003,False
100469,False,0,Associate Degree,2002,False
100470,True,1,Bachelor,2006,False
100471,False,0,High School,2006,False
100472,False,0,High School,2005,False
100473,False,0,Bachelor,2004,False
100474,False,0,Associate Degree,2004,False
100475,True,4,High School,1998,False
100476,False,0,Associate Degree,2001,False
100477,True,1,High School,2006,False
100478,True,2,Associate Degree,2006,False
100479,False,0,Bachelor,2006,False
100480,True,3,Bachelor,2005,False
100481,False,0,Master,1990,False
100482,False,0,Associate Degree,2005,False
100483,False,0,Bachelor,2002,False
100484,True,1,Associate Degree,1997,False
100485,True,1,Associate Degree,2003,False
100486,True,1,Associate Degree,2006,False
100487,False,0,High School,1994,False
100488,True,1,Bachelor,1998,False
100489,True,2,Master,1989,False
100490,False,0,Bachelor,2001,False
100491,False,0,Associate Degree,1998,False
100492,True,2,Bachelor,1992,False
100493,True,1,Master,2002,False
100494,False,0,High School,2004,False
100495,True,3,High School,2004,False
100496,True,2,High School,1998,False
100497,True,1,Associate Degree,1996,False
100498,True,2,Bachelor,2004,True
100499,True,2,Bachelor,2000,False
100500,False,0,High School,1999,False
100501,True,4,High School,2005,False
100502,False,0,High School,2003,False
100503,False,0,Bachelor,2003,False
100504,True,1,Bachelor,2003,False
100505,True,4,High School,2005,False
100506,True,6,Associate Degree,1998,True
100507,True,5,High School,2002,False
100508,True,3,Bachelor,2003,False
100509,True,1,High School,2008,False
100510,False,0,High School,2006,False
100511,True,1,Bachelor,1999,False
100512,True,5,Master,1998,False
100513,False,0,High School,2003,False
100514,True,4,High School,2005,False
100515,True,7,Associate Degree,2001,False
100516,True,3,Associate Degree,2003,False
100517,True,2,High School,2007,True
100518,False,0,Associate Degree,2006,False
100519,True,1,High School,2007,False
100520,True,3,Bachelor,1991,True
100521,False,0,High School,2007,False
100522,True,1,High School,2008,False
100523,True,3,High School,2003,False
100524,True,1,Associate Degree,2005,False
100525,True,2,High School,2006,False
100526,True,10,Associate Degree,1999,False
100527,True,5,Bachelor,1998,False
100528,False,0,Associate Degree,2004,False
100529,True,1,High School,1998,False
100530,False,0,Associate Degree,1994,False
100531,True,2,High School,2007,False
100532,False,0,High School,2002,False
100533,True,1,Associate Degree,2001,False
100534,True,2,Bachelor,2004,False
100535,True,3,High School,2001,False
100536,True,2,High School,1994,False
100537,False,0,High School,1994,False
100538,True,3,High School,2002,False
100539,True,9,Bachelor,1999,False
100540,True,1,High School,2004,False
100541,True,2,High School,2006,False
100542,False,0,High School,2005,True
100543,True,2,Bachelor,2002,True
100544,True,3,High School,2002,False
100545,True,4,Bachelor,2002,False
100546,True,1,High School,2004,False
100547,False,0,Associate Degree,2004,False
100548,True,3,Associate Degree,2003,False
100549,True,1,Associate Degree,1999,False
100550,False,0,Bachelor,1998,False
100551,True,1,Associate Degree,2002,False
100552,False,0,Associate Degree,2002,False
100553,True,1,High School,1998,False
100554,True,2,Associate Degree,2001,False
100555,True,2,Bachelor,1985,False
100556,True,5,Associate Degree,2004,False
100557,False,0,High School,2000,False
100558,False,0,High School,2006,False
100559,False,0,Master,2000,False
100560,True,5,Associate Degree,2002,False
100561,True,2,High School,2006,False
100562,False,0,Bachelor,1998,False
100563,False,0,High School,2001,False
100564,False,0,Associate Degree,2004,False
100565,True,4,High School,2005,False
100566,False,0,Master,1992,False
100567,False,0,High School,2007,False
100568,False,0,Associate Degree,2006,False
100569,True,1,High School,2002,False
100570,False,0,High School,2006,False
100571,True,3,Associate Degree,1997,False
100572,True,1,High School,2005,False
100573,False,0,Bachelor,2003,False
100574,False,0,Master,2004,False
100575,True,5,Bachelor,2004,False
100576,True,2,Bachelor,2003,False
100577,True,4,Associate Degree,2005,False
100578,False,0,Bachelor,2000,False
100579,True,4,Associate Degree,1994,False
100580,False,0,High School,2002,False
100581,True,3,Bachelor,2006,False
100582,True,4,Bachelor,2004,False
100583,False,0,Master,1999,False
100584,True,1,Associate Degree,1999,False
100585,True,3,High School,2006,False
100586,True,2,High School,2007,False
100587,True,2,Bachelor,2002,False
100588,False,0,High School,2008,False
100589,True,1,High School,2007,False
100590,False,0,High School,2005,False
100591,False,0,Associate Degree,1997,False
100592,False,0,Bachelor,1997,False
100593,True,2,High School,2002,False
100594,True,3,Bachelor,1995,False
100595,True,1,High School,2007,False
100596,False,0,High School,2000,False
100597,True,1,Associate Degree,1998,False
100598,False,0,Associate Degree,2005,False
100599,True,4,Associate Degree,1999,False
100600,True,1,High School,2008,False
100601,False,0,Associate Degree,1996,False
100602,True,1,Associate Degree,2001,True
100603,False,0,Bachelor,2000,False
100604,True,6,Bachelor,1999,False
100605,False,0,Associate Degree,2002,False
100606,False,0,Bachelor,2004,False
100607,True,2,Bachelor,2002,False
100608,True,5,High School,1998,False
100609,False,0,High School,2006,False
100610,True,1,Associate Degree,1994,False
100611,False,0,High School,2008,False
100612,True,3,Associate Degree,2006,False
100613,True,1,Associate Degree,2002,False
100614,True,4,High School,2005,False
100615,True,2,Associate Degree,2006,False
100616,True,3,Associate Degree,2002,False
100617,True,5,Bachelor,2000,False
100618,False,0,Associate Degree,2004,False
100619,True,1,Associate Degree,2001,False
100620,True,1,High School,2007,False
100621,False,0,Associate Degree,1995,False
100622,True,3,Bachelor,2004,False
100623,False,0,Bachelor,2003,False
100624,True,1,Bachelor,2003,False
100625,True,3,Bachelor,2001,True
100626,False,0,Bachelor,1992,False
100627,False,0,High School,2007,False
100628,False,0,Associate Degree,2006,False
100629,True,4,High School,2001,False
100630,False,0,Associate Degree,1997,False
100631,True,2,Associate Degree,1999,False
100632,True,3,Associate Degree,2006,False
100633,True,1,Bachelor,2000,False
100634,False,0,Bachelor,2000,False
100635,True,1,Bachelor,2000,False
100636,True,2,Associate Degree,2002,False
100637,True,2,High School,2002,False
100638,True,3,Associate Degree,2003,False
100639,True,4,High School,2003,True
100640,False,0,Associate Degree,1999,False
100641,True,4,High School,2004,False
100642,True,4,High School,1995,False
100643,True,1,Bachelor,1998,False
100644,False,0,Associate Degree,1997,False
100645,False,0,High School,1994,False
100646,False,0,High School,2006,False
100647,True,8,Bachelor,1996,False
100648,False,0,High School,1996,False
100649,True,2,Bachelor,2006,False
100650,True,2,Associate Degree,1994,False
100651,False,0,Associate Degree,2003,True
100652,False,0,High School,2002,False
100653,False,0,Bachelor,2004,False
100654,True,4,Bachelor,2001,False
100655,True,1,Master,2004,False
100656,True,3,Associate Degree,2003,False
100657,True,1,Bachelor,2005,False
100658,False,0,Associate Degree,2005,False
100659,False,0,High School,2003,False
100660,True,2,Associate Degree,2003,False
100661,False,0,Bachelor,1994,False
100662,False,0,Bachelor,2001,False
100663,True,1,High School,2003,True
100664,True,2,High School,2003,True
100665,False,0,Master,2003,False
100666,False,0,High School,2002,False
100667,True,2,Bachelor,2002,True
100668,True,5,Bachelor,1995,True
100669,True,1,Master,1990,False
100670,False,0,Bachelor,1998,False
100671,False,0,Associate Degree,2004,False
100672,False,0,High School,2006,False
100673,True,3,High School,2006,False
100674,True,3,Associate Degree,2002,False
100675,True,1,High School,2005,False
100676,False,0,Bachelor,1997,False
100677,True,1,High School,2008,False
100678,False,0,Bachelor,1997,False
100679,True,2,High School,2007,False
100680,True,3,Associate Degree,1999,False
100681,False,0,PhD,2000,False
100682,False,0,High School,1999,False
100683,True,5,Associate Degree,2004,False
100684,False,0,High School,2007,False
100685,True,3,High School,2005,False
100686,False,0,High School,2007,False
100687,True,4,Bachelor,2003,False
100688,True,8,Associate Degree,1999,False
100689,False,0,High School,2004,False
100690,True,5,High School,2001,False
100691,False,0,High School,1999,False
100692,False,0,Associate Degree,1996,False
100693,True,7,Bachelor,2001,False
100694,True,2,Bachelor,1999,False
100695,False,0,High School,2006,False
100696,True,2,Associate Degree,1999,False
100697,True,3,High School,2004,False
100698,True,4,Master,1997,False
100699,True,2,Associate Degree,2003,False
100700,True,5,Associate Degree,1998,False
100701,True,2,High School,2007,False
100702,True,1,Master,2004,False
100703,False,0,High School,2001,False
100704,True,4,Master,2003,False
100705,True,1,High School,2006,False
100706,True,2,Bachelor,1996,False
100707,False,0,Associate Degree,2005,False
100708,True,3,Bachelor,2006,False
100709,True,1,Associate Degree,1998,False
100710,True,1,Bachelor,2006,False
100711,True,1,High School,2004,False
100712,True,1,Master,1997,False
100713,True,5,Associate Degree,1990,False
100714,True,3,Associate Degree,2006,False
100715,True,2,High School,2004,False
100716,False,0,Bachelor,1997,False
100717,True,1,High School,2004,False
100718,False,0,High School,2001,False
100719,True,2,High School,2007,False
100720,True,1,Bachelor,2004,False
100721,True,9,Master,1996,True
100722,True,1,High School,2007,False
100723,True,2,Bachelor,1995,True
100724,False,0,Bachelor,1995,False
100725,True,1,High School,2001,False
100726,True,3,Associate Degree,2002,False
100727,True,3,Associate Degree,2003,False
100728,True,2,High School,1998,False
100729,False,0,High School,2005,False
100730,True,7,Associate Degree,1997,False
100731,False,0,High School,1999,False
100732,True,2,High School,2004,False
100733,True,3,Bachelor,2003,False
100734,True,7,Bachelor,2002,False
100735,True,2,High School,2007,False
100736,False,0,Associate Degree,1990,False
100737,True,5,Bachelor,2004,False
100738,True,1,Master,2003,True
100739,True,1,High School,2007,False
100740,False,0,Bachelor,1998,False
100741,True,2,Bachelor,2002,False
100742,False,0,Bachelor,2005,False
100743,True,1,Bachelor,2003,False
100744,True,2,Bachelor,2004,True
100745,False,0,High School,1997,False
100746,False,0,Master,1999,False
100747,True,1,Bachelor,2004,False
100748,True,4,Bachelor,1997,False
100749,True,3,Associate Degree,2004,False
100750,False,0,High School,2003,False
100751,True,3,High School,2003,False
100752,True,2,Associate Degree,2000,False
100753,True,3,Bachelor,1998,True
100754,True,3,Bachelor,2005,False
100755,False,0,Associate Degree,1996,False
100756,False,0,Associate Degree,2001,False
100757,True,2,Associate Degree,2005,False
100758,False,0,High School,2003,False
100759,False,0,Bachelor,1999,False
100760,True,2,High School,2007,False
100761,True,1,Bachelor,2000,False
100762,True,2,High School,2004,False
100763,False,0,High School,2005,False
100764,False,0,Associate Degree,2006,False
100765,False,0,Associate Degree,2003,False
100766,True,7,Bachelor,2002,False
100767,False,0,Bachelor,1999,False
100768,True,3,Associate Degree,2004,False
100769,False,0,High School,2002,False
100770,True,1,High School,2002,False
100771,True,4,High School,2005,True
100772,False,0,High School,2007,False
100773,True,1,High School,1995,False
100774,False,0,Master,2001,False
100775,True,2,High School,2002,False
100776,True,1,High School,2006,False
100777,False,0,Bachelor,1997,False
100778,True,2,Associate Degree,2000,True
100779,True,1,Bachelor,1997,False
100780,True,5,High School,2000,False
100781,True,2,Associate Degree,2003,False
100782,True,1,High School,2008,False
100783,False,0,Bachelor,2004,False
100784,True,2,Bachelor,1996,False
100785,True,7,Associate Degree,2002,True
100786,False,0,Bachelor,2002,False
100787,True,2,High School,2005,False
100788,True,3,Associate Degree,2006,False
100789,True,2,High School,2006,False
100790,False,0,High School,1999,False
100791,True,1,High School,2007,False
100792,True,3,Bachelor,1995,False
100793,True,5,High School,1999,False
100794,True,1,Associate Degree,2005,False
100795,True,8,Associate Degree,1993,False
100796,False,0,High School,2006,False
100797,True,1,Bachelor,2004,False
100798,True,2,High School,2007,False
100799,True,9,Bachelor,2000,False
100800,True,1,High School,2004,False
100801,True,2,High School,2007,False
100802,False,0,High School,2005,False
100803,True,8,Bachelor,1999,False
100804,True,1,Associate Degree,2001,False
100805,True,1,Associate Degree,2000,False
100806,True,4,Bachelor,1996,True
100807,False,0,Bachelor,2004,False
100808,False,0,Associate Degree,2003,False
100809,False,0,Bachelor,2004,False
100810,False,0,High School,2006,False
100811,True,2,Associate Degree,2002,False
100812,True,2,Associate Degree,2004,False
100813,False,0,Bachelor,2001,False
100814,True,7,Bachelor,2000,False
100815,False,0,High School,2002,False
100816,True,1,High School,1997,False
100817,True,3,High School,2006,False
100818,False,0,Associate Degree,2005,False
100819,True,2,Bachelor,2000,False
100820,False,0,Bachelor,2002,False
100821,False,0,Bachelor,1999,False
